germday,harvestage,biomass,shoot.root,shoot,root,hairs,final.height,final.stem,final.lvs,avggerm,seeds.planted,totgerms
3,50,3.19,1.5118110236,1.92,1.27,7,NA,4.26,6,3,1,1
2,50,3.42,0.9213483146,1.64,1.78,0,32.8,5.74,7,4,3,2
2,50,3.63,0.9516129032,1.77,1.86,4,39,6.22,7,2.6666666667,3,3
2,50,2.8,1.1875,1.52,1.28,11,33.7,5.53,7,5.3333333333,3,3
13,50,3.11,0.9683544304,1.53,1.58,5,25,5.8,6,14.5,3,2
2,50,3.67,1.1715976331,1.98,1.69,0,NA,6.24,7,2.3333333333,3,3
3,50,3.3,0.9298245614,1.59,1.71,0,19.2,8.9,7,3,3,1
3,50,3.46,1.703125,2.18,1.28,15,52.9,4.74,6,3.5,3,2
5,50,3.82,1.5466666667,2.32,1.5,6,58.8,5.06,6,5,2,1
3,50,3.34,1.3857142857,1.94,1.4,0,43.6,6.05,7,13,3,3
13,50,4.03,1.316091954,2.29,1.74,7,34.7,6.9,6,13,3,2
3,50,3.73,0.7761904762,1.63,2.1,0,22.8,5.99,6,4.6666666667,3,3
64,37,0.64,0.8285714286,0.29,0.35,0,16.9,3.5,5,64,3,1
3,50,2.64,1.5142857143,1.59,1.05,6,44.8,4.56,7,13.3333333333,3,3
2,50,0.88,1.0465116279,0.45,0.43,0,14.1,4.51,6,2.5,3,2
3,50,3.14,0.880239521,1.47,1.67,0,28.7,6.13,6,6,3,2
12,49,1.23,1.7333333333,0.78,0.45,7,18.3,4.78,7,12,3,1
6,50,1.36,2.1627906977,0.93,0.43,6,34.3,2.52,6,20.3333333333,3,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
3,50,5.39,1.313304721,3.06,2.33,0,51.7,7.1,7,15.75,4,4
4,50,4.28,1.2887700535,2.41,1.87,6,41.1,5.12,7,4,3,3
3,50,4.43,1.4340659341,2.61,1.82,13,45.3,7.37,7,3,3,3
3,50,4.76,1.234741784,2.63,2.13,0,37,6.89,6,4,3,3
3,50,3.07,1.2910447761,1.73,1.34,11,38,5.61,6,5,3,3
3,50,3.04,0.8881987578,1.43,1.61,0,36.8,3.91,7,7.5,3,2
7,51,3.18,1.025477707,1.61,1.57,7,38.7,4.4,6,7,3,1
6,50,3.5,0.5486725664,1.24,2.26,0,23.4,6.73,7,6,2,1
3,50,2.77,1.0072463768,1.39,1.38,5,34.5,4.13,6,17,3,3
3,50,2.75,1.052238806,1.41,1.34,0,25.9,5.09,6,3.5,2,2
29,52,3.44,0.9770114943,1.7,1.74,0,25.3,5,6,41,3,3
5,50,3.3,1.0625,1.7,1.6,0,22.9,8.08,7,12,3,3
7,51,3.81,1.0706521739,1.97,1.84,10,31.9,6.72,6,11,3,2
9,49,4.67,1.4196891192,2.74,1.93,7,42.1,4.93,6,9,3,1
3,50,2.87,1.0797101449,1.49,1.38,0,41.9,5.45,6,3,3,2
5,50,1.94,1.7714285714,1.24,0.7,0,37.4,5.56,7,11.3333333333,3,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
3,50,2.89,1.8058252427,1.86,1.03,0,47.6,5.23,6,3,3,1
5,50,3.95,1.1351351351,2.1,1.85,4,29,8.79,6,5.3333333333,3,3
2,50,3.42,1.0853658537,1.78,1.64,4,38.8,6.5,6,2,2,1
3,50,3.61,1.0395480226,1.84,1.77,6,36.5,5.45,7,3,2,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
7,51,3.47,1.3767123288,2.01,1.46,32,33.8,5.05,6,12,3,2
3,50,3.36,1.1818181818,1.82,1.54,0,34.1,6.19,6,19,3,2
4,50,3.78,1.4230769231,2.22,1.56,0,43.8,5.56,7,7.6666666667,3,3
5,50,1.04,2.7142857143,0.76,0.28,0,35.9,3.58,6,5,3,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
3,50,0.1,0.6666666667,0.04,0.06,NA,NA,NA,NA,5.6666666667,3,3
5,50,3.25,1.519379845,1.96,1.29,9,43.7,6.46,6,22.5,3,2
3,50,3.77,0.8212560386,1.7,2.07,0,36.6,7.45,6,8.5,3,2
3,50,3.52,1.5507246377,2.14,1.38,0,51.9,5.26,7,4.5,3,2
3,50,3.13,1.7456140351,1.99,1.14,0,43.5,4.46,6,7.6666666667,3,3
8,50,3.58,1.1437125749,1.91,1.67,8,27.5,4.89,6,9.5,3,2
16,49,3.02,0.9113924051,1.44,1.58,13,28,7,8,17.6666666667,3,3
3,50,2.65,1.3245614035,1.51,1.14,0,42.8,4.29,7,4,3,3
3,50,3.42,1.2953020134,1.93,1.49,0,39,5.63,7,3.6666666667,3,3
19,49,3.47,1.8442622951,2.25,1.22,0,34.4,7,7,19,3,1
2,50,4.13,1.0547263682,2.12,2.01,0,44.6,6.49,6,2.5,3,2
12,49,5.36,1.2148760331,2.94,2.42,28,35.9,6.51,6,16,3,3
7,51,3.73,1.7226277372,2.36,1.37,23,46.5,5.01,6,13.3333333333,3,3
4,50,3.76,0.898989899,1.78,1.98,0,20.9,8.56,8,13.3333333333,3,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
3,50,4.36,1.6748466258,2.73,1.63,0,44.1,5.06,7,4.6666666667,3,3
3,50,3.65,0.9414893617,1.77,1.88,0,34.4,5.07,6,3.6666666667,3,3
5,50,3.41,1.4532374101,2.02,1.39,7,33,4.17,6,8,4,2
12,49,3.56,0.547826087,1.26,2.3,0,11.6,9.94,7,15.6666666667,3,3
3,50,2.98,1.328125,1.7,1.28,9,36.6,4.41,6,3,3,1
3,50,3.11,1.1901408451,1.69,1.42,1,35.9,4.57,6,3,3,2
17,51,5.06,1.3755868545,2.93,2.13,4,37.6,8,5,18.5,3,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
3,50,3.76,1.2926829268,2.12,1.64,0,46.6,4.54,6,3,1,1
3,50,3.8,1.2093023256,2.08,1.72,0,36.1,5.87,7,7.3333333333,3,3
3,50,3.35,1.09375,1.75,1.6,0,18.5,6.77,6,5,3,3
5,50,4.04,1.2696629213,2.26,1.78,9,37.9,5.55,6,5.5,3,2
4,50,3.69,0.9732620321,1.82,1.87,3,25.1,6.97,7,5,3,2
3,50,3.87,1.0261780105,1.96,1.91,4,32.7,6.34,6,4.3333333333,3,3
6,50,3.78,1.3190184049,2.15,1.63,6,35.7,5.97,6,6,2,1
37,50,3.25,0.9230769231,1.56,1.69,0,23.1,3.85,6,37,3,1
8,50,3.43,1.1042944785,1.8,1.63,0,26.8,6.84,7,10,3,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
9,49,3.55,1.4149659864,2.08,1.47,14,38.7,4.64,7,13,3,2
4,50,3.87,1.9097744361,2.54,1.33,2,48.8,5.5,7,19.5,3,2
6,50,3.19,1.75,2.03,1.16,0,47.5,4.57,6,6,2,1
4,50,1.36,1.3050847458,0.77,0.59,0,25.6,6.93,6,10,3,3
4,50,2.94,1.1459854015,1.57,1.37,0,43.2,5.17,7,14.6666666667,3,3
18,50,2.7,2.1395348837,1.84,0.86,0,34,7.9,6,19,3,3
18,50,3.05,1.0469798658,1.56,1.49,0,16.1,7.5,7,21.6666666667,3,3
4,50,3.75,0.9736842105,1.85,1.9,11,47.1,4.11,7,12.3333333333,3,3
3,50,3.44,0.9111111111,1.64,1.8,0,27.8,5.39,6,9.5,3,2
3,50,2.49,1.0080645161,1.25,1.24,0,25,4.46,7,3.5,3,2
42,59,2.49,1.2432432432,1.38,1.11,0,22.5,5.5,6,42,3,1
4,50,3.77,1.1791907514,2.04,1.73,15,44.5,4.89,7,5,3,2
3,50,3.78,1.4545454545,2.24,1.54,7,46.5,5.75,7,3,3,1
4,50,3.14,1.2428571429,1.74,1.4,2,30.9,6.49,6,8.5,3,2
4,50,4.06,1.7248322148,2.57,1.49,0,50.9,4.32,7,5,3,2
3,50,3.58,1.1058823529,1.88,1.7,0,21.2,10.44,6,9,3,3
8,50,0.31,0.8235294118,0.14,0.17,9,12.2,3.53,3,8,3,1
3,50,3.44,1.0235294118,1.74,1.7,0,37.3,5.23,7,6,3,3
4,50,3.38,0.8172043011,1.52,1.86,0,20.7,7.73,7,11.3333333333,3,3
4,50,4.22,1.256684492,2.35,1.87,6,28.6,8.58,7,23.3333333333,3,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
18,50,3.26,1.2482758621,1.81,1.45,0,17.8,9,6,27.6666666667,3,3
6,50,2.82,1.0287769784,1.43,1.39,25,30.6,6.2,6,6,3,1
4,50,1.48,1.2769230769,0.83,0.65,0,16.1,9.7,8,5,3,3
6,50,4.2,1.1761658031,2.27,1.93,18,31.2,7.94,6,12.5,3,2
3,50,3.14,1.0258064516,1.59,1.55,0,29,6.49,6,3,3,1
3,50,0.74,0.85,0.34,0.4,0,7.9,4.78,9,12,3,3
4,50,3.14,1.453125,1.86,1.28,16,44,4.88,7,6,3,3
17,51,2.94,1.5565217391,1.79,1.15,0,20.1,8.9,6,21,3,2
5,50,3.39,1.306122449,1.92,1.47,0,39.4,4.77,7,13.3333333333,3,3
4,50,3.84,1.2588235294,2.14,1.7,2,38.7,6.88,8,4.5,3,2
3,50,4.04,0.8447488584,1.85,2.19,11,26.8,6.91,6,5.5,3,2
13,50,3.86,0.9593908629,1.89,1.97,0,20.6,9.8,6,13,3,1
4,50,0.49,0.96,0.24,0.25,0,15.3,5.47,8,5,3,3
16,49,3.6,1.0338983051,1.83,1.77,11,28.8,5.5,5,16,3,1
5,50,3.7,1.4832214765,2.21,1.49,7,35.6,6.95,7,5.3333333333,3,3
7,49,3.24,1.25,1.8,1.44,0,35.3,5.98,7,7,3,1
3,50,3.83,1.4394904459,2.26,1.57,0,47.2,3.89,6,4.5,3,2
4,50,3.29,1.3169014085,1.87,1.42,5,49.3,4.43,6,4,3,1
4,50,4.73,1.3300492611,2.7,2.03,14,36.8,6.64,6,6,4,2
36,50,1.79,0.7549019608,0.77,1.02,0,19.3,3.9,6,36,3,1
3,50,3.74,1.161849711,2.01,1.73,8,33.3,6.46,6,3.5,3,2
3,50,3.74,0.9581151832,1.83,1.91,0,34.2,5.57,7,12,3,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
4,50,1.42,0.9452054795,0.69,0.73,0,22.5,3.88,6,10,3,2
17,51,3.78,1.347826087,2.17,1.61,0,33.1,6.9,6,18.3333333333,3,3
8,50,4.72,1.1552511416,2.53,2.19,2,50.1,5.12,6,8.5,3,2
4,50,1.51,0.8641975309,0.7,0.81,0,23.6,4.48,7,4,2,1
18,50,3.5,1.380952381,2.03,1.47,12,31.8,7.2,5,18,3,1
30,51,3.16,1.1944444444,1.72,1.44,25,28.6,3.8,5,30,3,1
13,50,3.62,1.6814814815,2.27,1.35,2,40.3,6.4,6,13,3,1
2,50,3.89,1.9923076923,2.59,1.3,9,36.8,7.15,7,2.3333333333,3,3
3,50,3.14,1.7543859649,2,1.14,5,50.5,3.93,6,4,3,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
4,50,4.29,1.3701657459,2.48,1.81,12,34.1,5.73,6,4.5,3,2
3,50,3.37,0.8021390374,1.5,1.87,0,31.8,6.65,7,3,3,1
2,50,3.53,1.2341772152,1.95,1.58,7,34.6,5.21,6,4,2,2
5,50,1.84,1.6666666667,1.15,0.69,16,36.2,5.52,7,12,3,2
5,50,4.06,1.4023668639,2.37,1.69,0,45.5,5.27,7,7.6666666667,3,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
3,50,4.21,1.4195402299,2.47,1.74,0,47.1,5.43,7,3.3333333333,3,3
4,50,3.47,0.8457446809,1.59,1.88,0,20,8.09,9,11.3333333333,3,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
5,50,4.73,2.091503268,3.2,1.53,6,64.2,6.17,6,26,3,2
21,51,3.73,0.9528795812,1.82,1.91,9,28.8,5,6,27,3,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
7,49,4.29,0.8652173913,1.99,2.3,39,32,7.45,7,13.6666666667,3,3
19,49,1.84,1.7462686567,1.17,0.67,0,23.5,6.7,6,29,3,2
2,50,2.81,1.0970149254,1.47,1.34,0,25,4.74,6,2.6666666667,3,3
5,50,3.56,0.9347826087,1.72,1.84,8,29.8,6.45,7,9.6666666667,3,3
3,50,3.31,1.06875,1.71,1.6,0,30.9,6.16,7,7.5,3,2
6,50,5.07,1.2043478261,2.77,2.3,16,NA,8.79,6,12.5,2,2
16,49,3.34,1.5112781955,2.01,1.33,0,34,5.2,6,16,3,1
3,50,5.39,1.5186915888,3.25,2.14,0,37.7,6.71,7,3.6666666667,3,3
4,50,4.57,1.7202380952,2.89,1.68,4,73.4,5.38,7,5.3333333333,3,3
4,50,4.41,1.0801886792,2.29,2.12,11,32.5,7.81,7,4.5,3,2
3,50,5.38,1.1264822134,2.85,2.53,14,32.3,8.73,7,3,3,1
13,50,4.45,1.1921182266,2.42,2.03,21,33.7,6.7,6,16.5,3,2
4,50,4.75,1.6098901099,2.93,1.82,2,36.9,7.15,6,11.5,2,2
4,50,4.44,0.9137931034,2.12,2.32,18,28.7,8.11,7,5,3,3
3,50,3.31,0.7513227513,1.42,1.89,0,11,9.78,8,6.5,2,2
19,49,4.75,1.8106508876,3.06,1.69,0,28.6,9.1,7,19,3,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
4,50,3.66,2.3577981651,2.57,1.09,6,59.6,5.05,6,4,1,1
3,50,5.1,1.2368421053,2.82,2.28,0,52.1,4.58,7,3.5,3,2
3,50,4.76,1.6592178771,2.97,1.79,0,48.1,5.79,7,3,3,3
3,50,3.59,1.3012820513,2.03,1.56,0,33.3,7.77,7,8,3,2
3,50,3.64,0.7584541063,1.57,2.07,0,24.1,7.11,6,4.5,2,2
6,50,3.15,1.1575342466,1.69,1.46,1,43.2,5.53,6,21.3333333333,3,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
3,50,2.91,1.0068965517,1.46,1.45,0,27.9,6.42,6,3.5,3,2
18,50,3.07,1.7410714286,1.95,1.12,0,34.2,6,7,19,3,2
14,51,4.76,1.391959799,2.77,1.99,0,36.9,8.3,5,15,3,2
3,50,2.01,1.421686747,1.18,0.83,0,22.8,5.94,7,3,3,1
15,50,3.86,0.9693877551,1.9,1.96,0,27,6.2,6,31,3,2
3,50,3.56,1.0227272727,1.8,1.76,0,28.1,7.44,6,12.6666666667,3,3
8,50,3.38,1.6825396825,2.12,1.26,11,48.7,6.02,6,8,1,1
40,61,3.68,1.1149425287,1.94,1.74,0,25,6.56,7,40,3,1
6,50,4.63,1.0307017544,2.35,2.28,0,37.1,7.66,7,6,3,2
3,50,1.92,1.7826086957,1.23,0.69,5,37.3,7.93,8,7.6666666667,3,3
5,50,4.06,1.2430939227,2.25,1.81,20,34.4,6.7,6,5,2,1
5,50,4.28,1.1188118812,2.26,2.02,0,21.5,8.75,7,18,3,3
4,50,4.37,0.7550200803,1.88,2.49,0,28.1,8.18,7,4,2,1
5,50,4.13,0.8603603604,1.91,2.22,2,31.1,6.4,7,5.5,3,2
18,50,3.77,1.8560606061,2.45,1.32,0,34.5,8.2,6,19,3,2
17,51,2.82,1.0434782609,1.44,1.38,0,22.5,7.8,6,27,3,2
4,50,3.55,0.9832402235,1.76,1.79,10,31.5,6.6,6,4,3,1
31,50,1.28,1.2456140351,0.71,0.57,0,25.8,3.55,6,37,3,2
4,50,5.8,1.156133829,3.11,2.69,16,38.7,9.12,7,4,3,1
4,50,4.13,1.5337423313,2.5,1.63,0,39.1,6.74,7,12,3,2
3,50,3.47,1.5703703704,2.12,1.35,7,44.8,7.17,6,3.5,2,2
19,49,1.11,1.4130434783,0.65,0.46,0,23.9,6.3,5,20,3,2
13,50,3.5,1.1875,1.9,1.6,0,28.5,7.1,6,19.5,3,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
3,50,2.58,1.2631578947,1.44,1.14,0,28,6.53,7,12,3,3
7,49,3.62,1.1046511628,1.9,1.72,11,27.8,9.1,7,7,3,1
13,50,4.23,1.1044776119,2.22,2.01,4,28.1,10.1,6,13,3,1
17,51,3.7,1.1764705882,2,1.7,0,32.9,7.5,6,31,3,3
4,50,3.4,1.0731707317,1.76,1.64,20,31.2,6.58,7,5,3,2
2,50,4.99,1.4702970297,2.97,2.02,0,40.3,7.56,7,2.5,3,2
6,50,4.32,1.2383419689,2.39,1.93,9,48.2,6.41,7,6,3,1
4,50,3.73,1.6834532374,2.34,1.39,0,41.1,6.41,6,4.5,3,2
23,49,4.54,1.4945054945,2.72,1.82,10,38.8,4,6,23,3,2
6,50,3.78,1.9076923077,2.48,1.3,25,50,6.61,7,6,3,1
6,50,4.13,1.36,2.38,1.75,21,50.6,6.51,7,10,3,2
61,40,1.96,1.3058823529,1.11,0.85,0,18.3,6,4,61,2,1
4,50,3.76,1.35,2.16,1.6,23,38.2,6.72,6,4.5,2,2
4,50,4.4,1.4858757062,2.63,1.77,28,28,9.33,7,4,3,2
17,51,3.96,1.2247191011,2.18,1.78,9,34.7,7.9,5,17,3,1
4,50,3.48,1.2745098039,1.95,1.53,9,31.2,7.33,7,4.3333333333,3,3
6,50,4.2,0.6666666667,1.68,2.52,0,19.2,7.38,7,12,3,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
3,50,2.97,1.7247706422,1.88,1.09,0,32.3,5.64,7,4,3,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
4,50,3.61,1.615942029,2.23,1.38,1,49.2,6.59,7,4,3,1
4,50,4.21,1.4476744186,2.49,1.72,2,36.4,8.26,7,4,2,2
4,50,4.23,1.25,2.35,1.88,25,41,5.34,7,4,3,1
4,50,2.71,1.793814433,1.74,0.97,14,37.1,6.61,7,4,3,3
4,50,4.78,0.8968253968,2.26,2.52,7,38.1,8.61,7,4.3333333333,3,3
5,50,4.4,1.1674876847,2.37,2.03,6,29.3,8.5,7,5,3,1
5,50,4.02,1.3647058824,2.32,1.7,0,26,9.37,7,5,2,1
3,50,3.21,1.2605633803,1.79,1.42,0,32,7.16,7,4.6666666667,3,3
13,50,3.75,0.9329896907,1.81,1.94,0,13.9,11.3,8,13,3,2
20,49,0.09,0.5,0.03,0.06,NA,NA,NA,NA,20,3,1
3,50,3.71,1.1445086705,1.98,1.73,4,46,8.1,7,5.5,3,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
3,50,3.47,1.2828947368,1.95,1.52,0,47,7.34,7,3.3333333333,3,3
21,51,5.06,1.1440677966,2.7,2.36,12,36.7,4,6,21,2,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
3,50,5.48,1.2551440329,3.05,2.43,8,48.2,9.32,7,3.5,3,2
6,50,4.22,1.2688172043,2.36,1.86,0,38.1,7.41,6,9,2,2
34,67,3.9,1.0526315789,2,1.9,0,21,5,7,34,3,1
4,50,4.27,1.2356020942,2.36,1.91,11,25.5,8.11,6,4,3,2
5,50,NA,NA,0.06,NA,NA,NA,NA,NA,5.5,3,2
6,50,3.61,1.3141025641,2.05,1.56,2,26.2,8.21,7,14.5,3,2
19,49,3.59,0.9944444444,1.79,1.8,0,18.8,8.1,6,23,3,2
5,50,4.19,1.4502923977,2.48,1.71,1,40,5.47,6,5,1,1
11,50,4.04,1.2954545455,2.28,1.76,34,37.1,5.52,6,26,3,3
3,50,3.59,1.1369047619,1.91,1.68,9,36.8,5.3,7,3,3,2
4,50,4.32,1.0869565217,2.25,2.07,1,34.5,8.67,7,4,3,1
4,50,5.77,0.8144654088,2.59,3.18,0,24.1,10.49,7,7.6666666667,3,3
10,51,5,0.9607843137,2.45,2.55,0,27.2,8.36,6,10,3,1
4,50,2.32,1.606741573,1.43,0.89,0,35.3,6.97,7,5,3,2
4,50,4.83,1.0641025641,2.49,2.34,16,35.4,8.85,7,4,3,2
3,50,3.41,1.2733333333,1.91,1.5,0,32.2,6.9,7,3,3,2
