X2ndLW.6.6.9,LfW.6.18.4th
0.7,1.4
0.7,1.1
0.7,1.7
0.7,1.5
0.8,1.4
0.7,1.5
NA,NA
0.7,1.6
0.7,1.9
1,2.2
0.7,1
0.7,1.2
0.6,1.8
0.7,1.4
1,1.5
0.7,1.4
0.8,1.5
0.7,1.7
0.6,1.5
0.7,1.7
0.9,2
0.7,1.7
0.7,1.8
0.9,2
1,1.9
0.8,1.3
0.7,1
0.6,1.4
0.5,1
0.7,1.8
NA,NA
0.8,1.4
0.8,1.5
1.7,1.2
NA,NA
1,2.2
0.9,1.8
0.8,1.5
NA,NA
0.8,1.3
0.6,1.9
0.7,1.6
0.7,0.8
0.9,1.3
0.6,1.4
0.6,1.5
0.6,1.3
0.5,1.2
0.9,1.5
NA,NA
0.6,1.1
0.6,1.2
0.9,2
0.7,1.6
0.6,1.3
NA,NA
0.6,1
0.6,1.3
0.7,0.6
0.7,1.5
0.8,1.9
NA,NA
0.7,1.9
NA,NA
0.6,1.8
0.9,1.6
0.8,1.2
0.8,1.6
0.7,1.5
0.7,2.1
0.7,1.5
0.6,1.1
0.7,1.4
0.7,1.3
0.7,1.4
NA,NA
0.7,1.7
0.9,1.9
0.9,1.9
1.1,1.6
0.6,1.4
0.8,2
0.5,1.3
1.1,1.6
0.6,1.5
0.9,2
1,2.3
0.7,1.9
1,1.7
0.8,1.6
NA,NA
NA,NA
0.7,1.5
0.6,1.6
NA,NA
1,0.7
0.7,1.2
0.6,1.4
0.9,1.4
0.8,1.6
0.8,1.6
0.8,1.5
0.8,1.3
0.8,1.4
0.7,0.5
0.7,1.8
1.3,1.6
0.7,1.9
0.8,1
0.8,1.8
0.7,1.4
0.9,1.8
0.9,1.7
0.7,1.6
0.9,1.6
0.7,1.8
0.5,1.2
0.7,1.2
0.7,1.5
1,0.8
1,1.2
0.6,0.5
0.8,1.6
0.6,1.3
0.7,1.1
0.8,0.5
0.6,1.4
0.6,1.1
0.6,1.1
0.7,1.5
0.7,1.6
0.8,1
0.7,1.1
0.8,1.3
0.9,1.1
0.6,1.5
0.6,1.8
0.7,1.6
0.9,1.1
0.9,1.8
0.6,1.3
NA,NA
0.9,1.8
0.7,1.1
0.8,1.3
0.7,1.2
NA,NA
NA,NA
0.6,1.2
0.8,2.1
1,1.7
0.6,1.2
0.8,NA
0.8,1.2
NA,NA
0.8,1.6
0.7,1.7
0.7,1.7
0.7,1.4
0.6,1.4
0.7,1.3
NA,NA
0.7,1
0.9,1.9
NA,NA
0.8,1.5
0.7,1.5
0.7,1.6
0.6,1
NA,0.7
0.7,1.5
0.7,1.5
0.9,1.7
0.9,1.4
0.7,1.4
0.9,1.5
0.8,1.7
0.7,1.6
0.7,1.5
1,1.6
0.5,1.3
0.9,2.1
0.8,1.7
0.9,1.1
0.7,1.7
NA,0.9
0.7,1.4
0.6,1
0.8,1.3
0.9,1.9
0.7,1.7
0.7,1.3
NA,NA
0.8,1.8
0.8,1.4
0.7,1.4
0.8,1.2
0.8,1.7
0.6,1.1
0.7,1.6
0.6,1.3
0.8,2.1
1.1,1.7
0.8,1.1
0.6,1
NA,NA
0.6,1.8
NA,0.9
0.8,1.1
0.6,1.8
0.6,1.2
NA,NA
0.7,1.7
0.6,1.4
0.8,1.2
0.4,0.9
0.8,1.2
0.6,1.2
0.8,1.6
0.9,1.6
0.7,1.6
0.7,1.7
0.9,1.1
1,1.8
NA,NA
0.5,1.1
0.7,1.4
0.7,2
0.6,1.8
0.6,1
0.6,1.6
0.6,1
0.8,0.9
NA,1.8
0.7,NA
NA,NA
0.7,1.9
0.6,1.4
0.7,2.1
0.6,1.6
0.4,1
0.7,1.5
0.8,1.6
NA,NA
0.8,1.3
0.6,1.5
0.6,1.3
0.7,1.3
0.7,1.4
NA,0.7
0.9,1.9
0.7,1.4
0.8,1.3
NA,NA
0.7,1.6
0.8,1.4
0.9,1.2
0.8,1.2
0.8,1
1.1,1.7
0.7,1.5
1,1.3
0.7,1.1
0.9,1.6
0.8,1.3
NA,0.5
1,1.7
0.8,1.3
0.6,0.6
0.6,1.3
0.6,1.7
0.6,1.3
0.6,1.5
0.9,1.3
0.7,1.4
0.8,1.1
1,1
0.9,1.7
1,1.7
0.6,1.3
0.9,1.7
0.9,2
0.8,1.7
1,1.3
0.7,1.7
0.7,1.7
0.8,1.5
NA,NA
0.9,1.4
1,2
0.7,1.7
0.8,1.7
0.9,1.8
0.7,1.3
0.6,1.3
0.7,1.7
0.8,1.5
0.9,1.4
0.8,1.6
0.7,1.5
0.6,1.3
1,1
0.7,0.6
0.8,1.7
0.7,1.4
0.9,1.2
NA,NA
0.7,1.3
0.6,1.9
0.9,1.5
0.7,1.1
1,1.2
NA,NA
0.6,1.1
NA,NA
0.7,1.6
0.7,1.2
0.8,1.3
NA,NA
0.7,1.2
0.9,1.5
0.7,1.4
NA,NA
1,1.7
0.7,NA
0.7,1.5
0.6,2.1
0.6,1.4
1.2,2.4
0.5,1.3
0.8,1.6
0.9,1.4
NA,NA
0.8,1.9
0.9,1.5
0.8,1.9
0.5,1.2
NA,NA
0.8,1.8
0.7,1.7
0.7,1.6
0.9,1.6
0.5,1
0.6,1.2
0.9,1.7
0.8,1.6
NA,NA
0.9,1.5
0.7,1.2
0.9,1.5
0.9,1.8
0.8,1.2
0.9,1.6
0.7,1.2
0.7,1.2
0.7,1
0.7,0.9
0.9,1.4
1,1.4
NA,NA
0.8,1.5
0.7,1.2
0.6,1.2
0.7,NA
0.7,1.7
0.7,1.5
NA,NA
0.7,1.2
0.9,1.7
0.7,1.6
0.7,1.5
0.7,1.2
0.7,1.6
0.7,1.3
0.9,2
0.9,2.1
0.7,1.5
0.6,0.7
0.8,1.5
NA,NA
0.8,NA
0.6,0.8
0.7,1.2
0.4,NA
0.6,1
0.9,1.4
0.8,1.1
0.8,1.3
0.9,1.7
0.9,1.7
NA,0.7
0.9,NA
0.7,1.3
0.5,1.1
0.9,1.6
0.6,0.9
0.7,1.2
0.7,1.9
0.8,NA
0.9,2.1
NA,NA
0.6,1.6
0.6,1.2
0.8,1.4
NA,0.7
0.7,1.2
0.7,1.7
0.7,1.3
0.6,NA
0.7,NA
NA,NA
0.8,1.8
0.9,0.8
NA,0.7
1.1,1.5
0.9,1.1
0.7,1.3
1,1.8
0.6,1.1
0.8,1.8
0.8,1.2
0.9,1.2
0.6,1.4
0.6,1.1
0.9,0.7
0.7,2
0.7,1.4
0.7,1.2
0.7,1.5
0.8,1.2
NA,NA
0.6,1.3
0.9,1
0.7,1.7
NA,NA
0.9,1.4
1,1.7
1,0.7
0.8,1.7
NA,0.5
0.7,NA
NA,NA
NA,NA
0.7,1.4
0.5,0.9
0.7,0.6
0.6,1.2
0.7,1.5
0.7,0.6
0.8,0.6
0.8,0.9
0.8,1.8
0.5,2.1
NA,NA
0.9,1.2
0.6,0.7
0.9,1.8
0.7,0.7
0.7,1.4
0.8,0.7
0.7,0.5
0.9,1.1
0.9,1.7
0.8,1.1
NA,NA
0.9,1.8
0.7,1
0.7,1.6
NA,NA
0.9,1.5
0.6,0.6
0.8,1.2
0.9,1.6
0.8,1.6
0.7,1.2
0.8,1.5
0.7,1.5
1,1.6
0.8,1.4
0.8,1.5
0.9,1.3
0.7,1
0.7,1.6
0.7,1.5
0.8,1.5
0.6,1.4
0.8,1.6
NA,NA
0.7,2.4
0.7,1.4
1,1.7
1.1,1.5
0.7,1.3
NA,NA
0.8,1.6
0.8,1.6
0.9,1.5
0.8,1.5
0.7,1.4
1,1.4
0.9,1.3
0.7,1.2
0.7,1.4
0.9,1.5
NA,0.7
0.7,1.5
0.8,1.5
0.7,2
0.7,1.4
0.6,1.4
NA,NA
0.8,2
0.8,1.2
0.9,1.6
0.9,1.1
NA,NA
0.8,1.5
1.1,1.5
0.8,0.7
0.6,1.1
NA,NA
NA,NA
0.8,1.8
0.9,1.7
0.7,0.8
0.7,1.6
1,1.6
0.7,1.3
0.8,1.1
0.9,1.7
0.7,0.7
0.8,1.7
1,1.7
0.8,1.9
0.7,1.3
NA,NA
0.9,1.6
1,2.7
0.7,1.5
0.8,1.2
0.8,1.8
0.8,1.8
1.1,1
NA,NA
NA,NA
0.7,1.5
0.8,1.7
0.6,1.2
0.9,1.7
0.7,NA
0.8,0.4
0.8,0.5
NA,NA
0.7,1.2
NA,NA
0.7,1.3
0.7,1.7
0.9,1.6
0.6,1
0.8,1.6
1,0.9
0.6,0.9
0.7,0.2
0.8,1.8
0.6,0.9
NA,NA
0.7,1.2
0.9,1
0.7,1.5
0.6,1.1
0.7,1.6
NA,NA
0.7,1.2
0.6,1.2
0.9,NA
NA,NA
0.5,1.1
0.6,1.8
0.6,1.1
0.8,2.1
0.7,1.9
0.7,1.1
0.8,0.8
0.7,1
0.7,0.7
0.7,1.2
0.7,1.4
1.1,1.6
0.6,1
0.7,1.7
0.8,1.3
0.7,1.3
0.6,1.3
0.8,1.5
0.8,2.7
NA,NA
0.9,1.5
0.8,1.5
NA,NA
0.6,0.9
0.8,1.7
0.9,1.5
0.7,1
0.7,1.2
NA,0.7
1,1.5
0.7,1.9
0.8,1.5
NA,NA
1,1.5
0.8,0.8
0.8,1.9
0.7,1.3
0.8,1.5
NA,NA
0.7,NA
0.5,0.7
NA,NA
0.8,1.5
0.7,0.6
NA,NA
1,1.7
1,1.3
0.8,2
0.7,1.6
1,1.6
0.7,1.6
0.9,1.5
1,1.1
0.9,1.4
0.5,1.8
0.7,1.5
1,1.7
0.8,1.7
0.9,2.1
1,1.7
0.9,1.7
NA,NA
0.9,1.6
0.7,1.3
1.1,1.6
0.8,1.4
0.6,1.4
0.7,1.8
NA,NA
0.6,1.8
0.9,1.4
0.9,1.7
0.6,1.2
0.6,1.3
0.8,1.8
1,2
NA,NA
0.6,1.5
0.6,1.2
0.6,1.5
0.8,1.4
0.8,1.5
0.9,1.7
1,1.6
0.7,1.7
0.7,1.6
NA,0.6
0.8,1.7
0.8,1.9
0.6,1.4
0.6,0.6
0.6,1.7
NA,NA
0.8,1.2
0.8,1.8
0.9,2
0.9,0.8
0.5,1.9
1,1.7
0.8,1.7
0.5,2
NA,0.9
0.7,1.3
0.8,1.7
NA,NA
0.9,1.9
0.8,1.6
0.6,1.4
0.7,1.2
1,1.2
NA,NA
0.7,1.5
NA,NA
1,2
0.8,1.5
1,1.7
0.7,1.7
0.6,1.4
1,1.6
1.2,1.3
0.7,0.7
1,1.4
0.8,0.9
0.9,1.9
NA,NA
0.7,1.2
1.1,1.1
NA,NA
0.7,1.2
0.8,1.5
NA,NA
0.7,1.4
NA,NA
0.6,1.5
0.7,1.2
0.8,2.2
0.7,1.6
0.9,1.3
0.8,0.8
0.7,1.5
0.6,1.7
0.6,0.6
0.8,1.3
0.7,1.2
